,sf,time,slot_num,dev,dis,lbt
0,7,265,55.4,7.27,1,1
0,8,388.7,53.5,7.05,1,1
0,9,485.14,49.15,5.82,1,1
0,10,863.34,51.675,7.13,1,1
0,11,2115.46,52,4.98,1,1
0,7,257,55.4,7.27,1,1
0,8,380,53.5,7.05,1,1
0,9,465,49.15,5.82,1,1
0,10,819.5,51.675,7.13,1,1
0,11,1907,52,4.98,1,1
0,7,330,64,8.27,0,1
0,8,536.25,59.25,6.75,0,1
0,9,754,51,6.44,0,1
0,10,1827,55.25,4.86,0,1
0,11,3952,46.25,2.27,0,1
0,7,318,64,8.27,0,1
0,8,529,59.25,6.75,0,1
0,9,727.48,51,6.44,0,1
0,10,1732.5,55.25,4.86,0,1
0,11,3453.8,46.25,2.27,0,1