sf,dis,pos,size,scale,lbt,slot_number,packet,last_time,node2energy_mj,node4energy_mj,all_energy_aver_mj,all_dev_mj,node2_true,node4_true,cpu,lpm,tx,rx,pdr,energy,
list1 = [7,1,5,5,20,0,60,0,50.263299,0,0,0,0,5606.4357,5682.353467,1319339,29263351,93544,19587065,0,5258.809077,1]
list2 = [7,1,5,5,20,0,60,66,240.332867,0,0,0,0,35868.39219,32359.10617,9457698,132278687,25782575,123077206,954545,32366.40665,3.24]
list1 = [7,1,5,5,20,0,60,0,50.272865,0,0,0,0,5549.666285,5671.165313,1319341,29256954,93545,19603025,0,5261.367437,1]
list2 = [7,1,5,5,20,0,60,66,240.376889,0,0,0,0,33483.16208,32318.5294,9473324,132785768,26557094,121833568,969696,32389.0515,3.24]
list1 = [7,1,5,5,20,0,60,0,50.254163,0,0,0,0,5576.546911,5670.012443,1319340,29284512,93510,19556801,0,5254.432171,1]
list2 = [7,1,5,5,20,0,60,66,239.064764,0,0,0,0,32573.27191,34696.85309,9659754,127214215,33100562,119344396,954545,33542.90994,3.24]
list1 = [7,1,5,5,20,0,40,0,50.288922,0,0,0,0,5446.481679,5612.910142,1338849,30082224,155918,18711931,0,5163.120077,1]
list2 = [7,1,5,5,20,0,40,63,241.170703,0,0,0,0,35596.96528,31808.53172,9396622,137289571,15554267,129219165,873015,30899.12619,3.39]
list1 = [7,1,5,5,20,0,40,0,50.283655,0,0,0,0,5463.63739,5612.967699,1338849,30210350,155915,18578541,0,5163.120077,1]
list2 = [7,1,5,5,20,0,40,63,242.316096,0,0,0,0,35006.98028,31782.33051,9246228,143213106,19896254,120244163,904761,30899.12619,3.39]
list1 = [7,1,5,5,20,0,40,0,50.275723,0,0,0,0,5629.702773,5587.819338,1338848,30216865,155882,18564128,0,5143.45563,1]
list2 = [7,1,5,5,20,0,40,63,241.331284,0,0,0,0,33144.54088,31831.41232,9258634,142397499,21430670,118520204,904761,30927.13494,3.39]
list1 = [7,1,5,5,20,0,40,0,50.287912,0,0,0,0,5513.474389,5623.286043,1338850,29991331,155920,18801811,0,5174.590002,1]
list2 = [7,1,5,5,20,0,40,63,242.040698,0,0,0,0,32438.77178,31709.2845,9269213,142956179,17952195,122151023,920634,30585.92484,3.39]
list1 = [7,1,5,5,20,0,40,0,50.293704,0,0,0,0,5513.897339,5585.334261,1338850,30035225,155923,18763706,0,5170.015193,1]
list2 = [7,1,5,5,20,0,40,63,239.160776,0,0,0,0,33327.49724,32840.4515,9754162,129843087,17979425,131877806,919354,31703.47088,3.39]
list1 = [7,1,5,5,20,0,40,0,50.279227,0,0,0,0,5509.973716,5591.797637,1338850,30001962,155911,18782504,0,5171.647846,1]
list2 = [7,1,5,5,20,0,40,63,241.134402,0,0,0,0,32871.16391,31806.97608,9449765,137910870,16824227,127228767,888888,30931.76871,3.39]
list1 = [7,1,5,5,20,0,40,0,50.296854,0,0,0,0,5496.419483,5555.514827,1338849,30115738,155938,18686329,0,5160.266756,1]
list2 = [7,1,5,5,20,0,40,63,242.078448,0,0,0,0,32399.64006,32661.2104,9363646,138979664,22526951,121505041,875000,31593.69409,3.39]
list1 = [7,1,5,5,20,0,40,0,50.29425,0,0,0,0,5499.033339,5568.257452,1338848,30356889,155913,18442600,0,5128.873165,1]
list2 = [7,1,5,5,20,0,40,63,241.685423,0,0,0,0,36587.14002,32903.12671,9496270,138186970,25652545,118643888,920634,31972.58877,3.39]
list1 = [7,1,5,5,20,0,30,0,51.305486,0,0,0,0,5385.666717,5392.835582,1356144,31499489,249487,18200366,0,5174.309736,1]
list2 = [7,1,5,5,20,0,30,57,242.203414,0,0,0,0,30953.39846,30379.53377,9019780,152837581,13597080,118054459,830508,29097.5446,3.75]
list1 = [7,1,5,5,20,0,30,0,50.273363,0,0,0,0,5468.221009,5504.511452,1342468,30067263,187085,18676547,0,5165.148093,1]
list2 = [7,1,5,5,20,0,30,57,240.797527,0,0,0,0,31966.47904,31241.06227,9080577,147208558,13917553,120864202,881355,29413.19948,3.75]
list1 = [7,1,5,5,20,0,30,0,50.77362,0,0,0,0,5572.102036,5697.772035,1355314,30479521,187099,18751686,0,5201.904812,1]
list2 = [7,1,5,5,20,0,30,57,240.718121,0,0,0,0,30059.86638,33584.49549,9550070,139028655,19315032,123597984,866666,31026.16459,3.75]
list1 = [7,1,5,5,20,0,20,0,50.290173,0,0,0,0,5332.786421,5384.603533,1368019,30781493,218308,17922353,0,5077.365075,1]
list2 = [7,1,5,5,20,0,20,49,242.542363,0,0,0,0,30921.25328,31576.33408,9484947,152249921,20362523,110735145,814814,29816.78894,4.36]
list1 = [7,1,5,5,20,0,20,0,50.278838,0,0,0,0,5335.222346,5403.477349,1362065,31029584,249483,17637706,0,5047.400248,1]
list2 = [7,1,5,5,20,0,20,49,241.750519,0,0,0,0,31188.36953,31656.43821,9586932,151649908,22361850,108430667,811320,29979.26329,4.36]
list1 = [7,1,5,5,20,0,20,0,50.276194,0,0,0,0,5395.375468,5426.178822,1362065,31163259,249475,17501395,0,5029.780535,1]
list2 = [7,1,5,5,20,0,20,49,242.381887,0,0,0,0,30960.31955,30541.80392,9343081,153968088,16049986,113296926,886792,29169.811,4.36]
list1 = [7,1,5,5,20,0,20,0,59.310736,0,0,0,0,7052.842273,7068.487491,1386083,31381609,249545,26293499,0,6641.098142,1]
list2 = [7,1,5,5,20,0,20,47,230.843897,0,0,0,0,29370.06437,30935.93167,9738316,139449515,21311706,119655096,920000,29482.59935,4.55]
list1 = [7,1,5,5,20,0,20,0,50.292845,0,0,0,0,5273.134575,5326.365218,1376102,31254363,280653,17381727,0,5023.014614,1]
list2 = [7,1,5,5,20,0,20,49,240.34246,0,0,0,0,31368.34135,31231.98296,9701797,146609373,12209859,122114276,905660,29309.49866,4.36]
list1 = [7,1,5,5,20,0,20,0,50.303191,0,0,0,0,5361.218034,5406.913474,1364013,30749294,218309,17971575,0,5084.262601,1]
list2 = [7,1,5,5,20,0,20,49,240.382434,0,0,0,0,30925.1515,29992.49113,9116986,154949777,12786483,113832379,867924,28308.0844,4.36]
list1 = [7,1,5,5,20,0,20,0,50.296249,0,0,0,0,5247.456455,5356.369041,1381325,31682018,280641,16952265,0,4968.27623,1]
list2 = [7,1,5,5,20,0,20,49,239.539269,0,0,0,0,32178.07944,31367.88618,9778692,146605620,19652742,113798464,903846,30000.13376,4.36]
list1 = [7,1,5,5,20,0,20,0,50.306971,0,0,0,0,5392.035943,5509.378965,1351309,30669249,218291,18068122,0,5096.490081,1]
list2 = [7,1,5,5,20,0,20,49,243.293014,0,0,0,0,32470.09473,31637.92671,9108109,153816388,10651013,120024475,814814,28745.41841,4.36]
list1 = [7,1,5,5,50,0,20,0,54.826434,0,0,0,0,6115.097772,6307.249121,1450457,32651578,155921,20568478,0,5647.000333,1]
list2 = [7,1,5,5,50,0,20,62,235.991788,0,0,0,0,32613.5087,39161.23339,9372557,134383422,26906347,120155896,846153,31876.34993,3.45]
list1 = [7,1,5,5,50,0,20,0,81.442591,0,0,0,0,9026.733783,9151.310346,2138917,47912518,187097,31204059,0,8460.933591,1]
list2 = [7,1,5,5,50,0,20,56,212.370882,0,0,0,0,27225.4359,27242.75403,8938551,148521964,17824526,118528432,938461,26875.60862,3.82]
list1 = [7,1,5,5,50,0,20,0,53.844877,0,0,0,0,5903.975432,6135.201395,1429468,32154521,155920,20104968,0,5534.47735,1]
list2 = [7,1,5,5,50,0,20,62,237.207114,0,0,0,0,35034.08463,33417.85596,9322613,137943919,26267664,117517795,953125,31512.23305,3.45]
list1 = [7,1,5,5,50,0,20,0,81.496485,0,0,0,0,9357.213751,9252.762027,2138693,48075717,155902,31126173,0,8446.521128,1]
list2 = [7,1,5,5,50,0,20,56,211.033179,0,0,0,0,29707.60267,29025.78351,9299781,140487989,20068369,122673525,907692,27888.08117,3.82]
