offset,initiator,start_time,end_time,last_time,average_cnt,max_cnt,average_prr,worst_prr,node2_energy,node4_energy,aver_energy,node2_energy_real,node4_energy_real
0,5,2020-09-14 10:16:01,2020-09-14 10:18:23,600,2.576771332958587,4.09263413378443,97.58095238095238,80.561,76925.54190000001,74112.2117,75699.65737809525
0,5,2020-09-14 12:56:01,2020-09-14 12:58:23,600,2.118549026837389,3.1601654152979823,95.70638095238095,74.452,77397.77728000001,74226.88444,76004.89934666667
0,5,2020-09-14 13:35:01,2020-09-14 13:37:23,600,2.158037394722882,2.8469708530444073,98.13347619047619,97.302,77051.95504,74333.50776000001,75932.92319904763
0,5,2020-09-14 14:14:01,2020-09-14 14:16:23,600,2.0500350515297776,2.713633030627785,98.94280952380953,97.57,76876.10882,74378.9576,75934.87391428571
0,8,2020-09-14 17:51:01,2020-09-14 17:53:23,600,1.4845064316732814,2.9794380787945376,99.92209523809524,98.907,74459.9209,75830.88494,74394.54704285714
0,8,2020-09-14 18:30:01,2020-09-14 18:32:23,600,1.4799591785803416,2.951085600199651,99.56990476190477,99.279,74459.9209,75587.99504000001,74469.23690190476
0,8,2020-09-14 19:10:01,2020-09-14 19:12:23,600,1.4638935292462263,3.0132339997485227,99.99142857142857,99.82,74359.16778,74681.21696,74314.66614285714
0,11,2020-09-14 20:11:01,2020-09-14 20:13:23,600,1.405415657301482,2.8408364009414036,99.11438095238096,97.653,74440.13108,75870.46458,74724.73259238095
0,11,2020-09-14 20:49:01,2020-09-14 20:51:23,600,1.4295313163383974,3.0380863160615066,99.88014285714286,99.459,74001.60514,75587.99504000001,74429.4332095238
0,11,2020-09-14 21:28:01,2020-09-14 21:30:23,600,1.40937703157898,3.076439347039849,99.99147619047619,99.821,74082.56844,75896.1246,74495.45203904762